lol﻿,name,unit,unit_type,bedroom,group,tenantid,resident_name,resident_rent,unit_rent,status,days_vacant,move_in,move_out,lease_from,lease_to,amenities,company_id
,Aventura Isles,001-0401,iy-1-1a,1,Occupied No Notice,t0021446,Daniel Villegas,1802,1916,Current,0,8/2/16,,8/2/16,8/1/17,Bld1Fl4- Stainless Steel Appliances- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0402,iy-2-2b,2,Notice Unrented,t0058703,William Lapko,2023,2181,Notice,0,2/17/16,3/31/17,4/1/16,3/31/17,Line_view_1-2- Bld1Fl4- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0403,iy-2-2b,2,Occupied No Notice,t0000921,Rachel Fischer,1802,2016,Current,0,7/1/07,,5/1/16,4/30/17,Bld1Fl4- Line_view_1-3,1
,Aventura Isles,001-0404,iy-2-2b,2,Occupied No Notice,t0020478,Ed Toro,2246,2336,Current,0,5/22/16,,5/22/16,5/21/17,Bld1Fl4- Kitchen and Bathroom Upgrade- Porcelain Tile in Bedroom- Porcelain Tile- 2nd Porcelain bedroom Tile Upg- Line_view_1-4,1
,Aventura Isles,001-0405,iy-2-2b,2,Occupied No Notice,t0000922,Austin Bunsen,1814,2081,Current,0,7/14/10,,11/1/16,10/31/17,Bld1Fl4- Line_view_1-5,1
,Aventura Isles,001-0406,iy-2-2b,2,Occupied No Notice,t0002173,Jose Cartagena,2049,2196,Current,0,3/1/13,,7/1/16,6/30/17,Bld1Fl4- Line_view_1-6- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0407,iy-1-1a,1,Occupied No Notice,t0000923,Bianca Monaco,1587,1866,Current,0,4/4/12,,7/1/16,6/30/17,Bld1Fl4- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0408,iy-2-2b,2,Occupied No Notice,t0067092,Juha Mikkola,2027,2156,Current,0,8/3/16,,8/3/16,8/2/17,Bld1Fl4- Line_view_1-8- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0409,iy-1-1a,1,Occupied No Notice,t0020396,Johanna Mikkola,1647,1816,Current,0,5/1/16,,5/1/16,4/30/17,Bld1Fl4- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0410,iy-2-2b,2,Occupied No Notice,t0071340,Don Morehouse,2133,2271,Current,0,10/14/16,,10/14/16,10/13/17,Line_view_1-10- Kitchen and Bathroom Upgrade- Tile Upgrade- Stainless Steel Appliances- Bld1Fl4,1
,Aventura Isles,001-0411,iy-1-1a,1,Occupied No Notice,t0021626,Mario Aguayo,1659,1816,Current,0,8/13/16,,8/13/16,8/12/17,Bld1Fl4- Tile Upgrade,1
,Aventura Isles,001-0412,iy-2-2b,2,Occupied No Notice,t0022446,Israel Martinez,2132,2231,Current,0,11/18/16,,11/18/16,11/17/17,Bld1Fl4- Line_view_1-12- Kitchen and Bathroom Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-0414,iy-3-2c,3,Occupied No Notice,t0001036,Angel Vargas,2889,2926,Current,0,4/30/15,,4/30/16,4/29/17,Line view 1-14- Bld1Fl4- Kitchen and Bathroom Upgrade- Tile Upgrade,1
